Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,conflict_type_valid,Conflict_Type_Valid,Year_Valid,Population_Valid,GDP_Valid,Conflict_Coordinates_Valid,On_Land,Land_Valid,Total_Deaths,Civilian_Ratio,Military_Deaths_Ratio_A,Military_Deaths_Ratio_B,Civilian_Deaths_IF_Label,Military_Deaths_IF_Label,Civ_Deaths_Valid,Mil_Deaths_Valid,Total_Deaths_Valid,GDP_Loss_Ratio,GDP_IF_Label,GDP_Loss_IF_Label,GDP_IF_Valid,GDP_Loss_IF_Valid,GDP_LOF_Label,GDP_Loss_LOF_Label,GDP_LOF_Valid,GDP_Loss_LOF_Valid,Coords_IF_Label,Coords_IF_Valid,DBSCAN_Cluster,Coords_DBSCAN_Valid,Total_Deaths_DBSCAN_Cluster,Total_Deaths_DBSCAN_Valid
France,France,Cold Conflict,2020,1829,33197,41305,50364,176.45,8.2,2584.4,Desert,1113.4,724.2,4887.9,15609.5,NATO,Regional,Mixed,87,104,Yes,6.68,No,Victory_A,88.811,101.02,Temperate,Land,0,1,0,1,0,0,0,0,0,124866,0.4033443851809139,29.815879288665347,57.03534935100801,1,1,1,1,1,0.008608408871369051,1,1,1,1,1,1,1,1,1,1,161,1,0,1
India,Japan,Cold Conflict,2013,1234,26773,10526,176846,435.83,24.8,2379.0,Plains,571.6,507.0,10851.5,12932.3,NATO,NATO,Conventional,1529,87,Yes,14.51,Yes,Stalemate,55.878,78.502,Polar,Water,0,1,0,1,1,0,0,1,1,214145,0.8258236241798781,46.838698390482854,20.761341222879686,1,1,1,1,1,0.018324657960460483,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Israel,USA,Civil War,1970,1982,17256,7604,17280,154.5,17.3,946.6,Mountain,677.0,1145.0,12079.9,22137.4,Regional,,Nuclear,3239,9,No,1.63,No,Stalemate,29.263,144.68,Tropical,Water,0,1,0,1,0,0,0,0,0,42140,0.41006169909824397,25.488921713441655,6.641048034934498,1,1,1,1,1,0.004515259824708554,1,1,1,1,1,1,1,1,1,1,49,1,0,1
Turkey,Australia,Proxy War,2021,1754,1745,33468,92279,273.2,12.3,1065.6,Plains,1303.8,98.1,12583.3,10539.7,,NATO,Cyber,3185,15,No,7.23,No,Victory_A,-22.281,-147.397,Polar,Water,0,1,0,1,0,0,0,0,0,127492,0.723802277789979,1.3383954594262923,341.1620795107034,1,1,1,1,1,0.011815075898456082,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Australia,France,War,2012,753,29149,40672,72545,351.35,31.1,139.4,Plains,938.3,386.3,23875.5,14095.4,Regional,NATO,Mixed,12,22,Yes,19.65,No,Victory_A,17.638,169.36,Temperate,Land,0,1,0,1,0,0,0,0,0,142366,0.5095668909711588,31.06575722050517,105.28604711364224,1,1,1,1,1,0.009253138587707956,1,1,1,1,1,1,1,1,1,1,81,1,0,1
Brazil,Brazil,Civil War,2013,886,9915,46117,101440,499.96,7.0,47.2,Mountain,1149.2,844.5,2515.4,21461.7,Regional,Regional,Mixed,2928,46,Yes,15.71,No,Victory_B,68.465,-169.618,Tropical,Oil,0,1,1,1,0,0,0,0,1,157472,0.6441780125990653,8.627741037243299,54.60864416814683,1,1,1,1,1,0.02085156253258317,1,1,1,1,1,-1,1,0,1,1,2,1,0,1
Israel,Ukraine,Civil War,1969,464,1948,38405,173852,217.7,-0.1,1431.0,Forest,163.4,288.1,9519.4,9830.4,NATO,Regional,Mixed,319,11,Yes,11.44,Yes,Victory_A,-35.014,-58.427,Tropical,Oil,0,1,0,0,0,0,0,1,1,214205,0.8116150416656941,11.921664626682986,133.30440819160012,1,1,1,1,1,0.01125076228178069,1,1,1,1,1,1,1,1,1,1,3,1,0,1
UK,Iran,Civil War,1957,712,34429,32194,91987,214.1,17.4,286.6,Plains,272.3,942.1,12868.5,19312.1,NATO,Regional,Mixed,4387,155,No,1.24,Yes,Stalemate,-84.483,-149.462,Arid,Oil,0,1,0,0,0,0,0,0,0,158610,0.579957127545552,126.43775247888358,34.17259314297845,1,1,1,1,1,0.0066530766983834986,1,1,1,1,1,1,1,1,1,1,4,1,0,1
France,Russia,Cold Conflict,2007,728,33641,14785,113773,421.31,18.1,582.0,Mountain,482.4,192.3,24078.2,6410.9,NATO,,Conventional,4868,76,Yes,0.29,Yes,Victory_A,-31.107,-161.577,Tropical,,0,1,0,1,0,0,0,0,0,162199,0.7014408226931116,69.73673300165838,76.88507540301612,1,1,1,1,1,0.013818380995175326,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Canada,India,Skirmish,1995,717,7411,8824,3373,402.77,9.8,2540.3,Plains,264.3,32.9,12612.8,17562.1,NATO,NATO,Mixed,1683,17,Yes,2.1,No,Stalemate,82.841,167.3,Arid,Oil,0,1,0,1,1,0,0,0,0,19608,0.1720216238270094,28.040105940219448,268.2066869300912,-1,1,0,1,0,0.013347848708694975,1,1,1,1,1,1,1,1,-1,0,5,1,0,1
